Degree Program,I,II,III,IV
B. Arch. Studies,95,91,78,90
B.A. General,218,409,558,
B.A. Honours,1758,1638,1269,1041
All B.A.,1976,2047,1827,1041
B. Commerce,395,407,373,284
B. Computer Science,501,457,368,307
B. Engineering,1190,966,786,889
B. Humanities,46,33,26,22
B. Industrial Design,48,49,46,52
B. International Business,54,53,44,50
B. Journalism,98,104,70,74
B. Comm & Media St. Gen,,15,43,
B. Comm & Media St. Hon,226,253,184,129
English Language Studies,155,153,98,73
French Language Studies,12,61,52,
B. Journalism & Hum.,16,7,5,9
B. Global Inter. Gen.,1,7,17,
B. Global Inter. Hon.,246,203,166,109
B. Info. Technology,232,141,73,94
B. Cognitive Science,177,144,86,66
B. Health Sciences,90,87,69,47
B. Mathematics Honours,68,49,31,30
B. Mathematics General,28,36,35,
B.Math. All,96,85,66,30
B. Music,24,21,29,16
B. Pub. Aff. & Pol. Mngmt.,81,81,55,72
B.Sc. General,133,85,97,49
B.Sc. Honours,339,391,357,295
B.Sc. All,472,476,454,344
B. Social Work,42,79,101,69
