Calendar Year,Ph.D.,Masters
1979,39,367
1980,31,384
1981,47,377
1982,27,367
1983,30,373
1984,38,360
1985,42,371
1986,54,474
1987,42,436
1988,43,399
1989,50,404
1990,45,422
1991,61,458
1992,67,524
1993,47,587
1994,75,571
1995,73,574
1996,84,591
1997,69,568
1998,58,607
1999,79,589
2000,80,566
2001,76,600
2002,78,671
2003,74,677
2004,100,795
2005,74,817
2006,76,790
2007,103,764
2008,103,782
2009,119,871
2010,117,980
2011,131,955
2012,127,998
2013,120,1002
2014,141,1011
2015,148,975
2016,203,1108
2017,202,1126
2018,257,1114
2019,303,1118
